Sr. No.,Year,Author,Exp,Data,Vel,Temp,RH,hours,Fit,Variety,Technique,Pretreatment,P_temp,P_time,kg_r,kg_m,Diff_r,Diff_m,Do,TD,alpha,aLR,aRL,mwR,Density,Berry Count,Radius,Dry_Mass,Weight_i,Vol_i,Water_i,MR_i,MC_i,MC_i,Weight_f,Vol_f,Water_f,MC_eq_Lit,MC_eq_Lit,MR_f,MC_f,MC_f,Pretreatment
493,2016,Adiletta G.,5,22,2.3,50,32,70,0.051,Globe,Convective,Chemical,25,180,,13,,2.11E-04,8.50E+08,2683,1.79E-02,2.30E-02,1.49E-01,29.6,1075,1600,0.822,538.358,4000,3720.93,3461.642,1,6.43,0.8654,925.993,717.824,387.635,0,0,0.112,0.72,0.4186,Dipped in ethyl oleate
494,2016,Adiletta G.,6,26,2.3,50,32,57,0.19,Globe,Convective,Physical,NotApplicable,NotApplicable,,33,,2.11E-04,8.50E+08,2683,1.79E-02,2.30E-02,1.49E-01,29.6,1075,1600,0.822,538.358,4000,3720.93,3461.642,1,6.43,0.8654,758.034,587.623,219.676,0,0,0.0635,0.408,0.2898,Abraded
495,2016,Adiletta G.,7,35,2.3,60,20,79,0.157,Globe,Convective,Untreated,Untreated,Untreated,,6,,2.70E-04,8.50E+08,2683,1.79E-02,2.30E-02,1.49E-01,29.6,1075,1600,0.822,538.358,4000,3720.93,3461.642,1,6.43,0.8654,710.644,550.887,172.286,0,0,0.0498,0.32,0.2424,Untreated
496,2016,Adiletta G.,8,34,2.3,60,20,41,0.008,Globe,Convective,Chemical,25,180,,17,,2.70E-04,8.50E+08,2683,1.79E-02,2.30E-02,1.49E-01,29.6,1075,1600,0.822,538.358,4000,3720.93,3461.642,1,6.43,0.8654,716.286,555.261,177.928,0,0,0.0514,0.3305,0.2484,Dipped in ethyl oleate
497,2016,Adiletta G.,9,23,2.3,60,20,29,0.083,Globe,Convective,Physical,NotApplicable,NotApplicable,,35,,2.70E-04,8.50E+08,2683,1.79E-02,2.30E-02,1.49E-01,29.6,1075,1600,0.822,538.358,4000,3720.93,3461.642,1,6.43,0.8654,673.881,522.389,135.523,0,0,0.0392,0.2517,0.2011,Abraded
498,2016,Adiletta G.,10,26,2.3,70,10,37,0.148,Globe,Convective,Untreated,Untreated,Untreated,,8,,3.42E-04,8.50E+08,2683,1.79E-02,2.30E-02,1.49E-01,29.6,1075,1600,0.822,538.358,4000,3720.93,3461.642,1,6.43,0.8654,679.143,526.467,140.785,0,0,0.0407,0.2615,0.2073,Untreated
499,2016,Adiletta G.,11,33,2.3,70,10,22,0.007,Globe,Convective,Chemical,25,180,,17,,3.42E-04,8.50E+08,2683,1.79E-02,2.30E-02,1.49E-01,29.6,1075,1600,0.822,538.358,4000,3720.93,3461.642,1,6.43,0.8654,667.754,517.639,129.396,0,0,0.0374,0.2404,0.1938,Dipped in ethyl oleate
500,2016,Adiletta G.,12,34,2.3,70,10,22,0.022,Globe,Convective,Physical,NotApplicable,NotApplicable,,13,,3.42E-04,8.50E+08,2683,1.79E-02,2.30E-02,1.49E-01,29.6,1075,1600,0.822,538.358,4000,3720.93,3461.642,1,6.43,0.8654,721.687,559.447,183.329,0,0,0.053,0.3405,0.254,Abraded
501,2017,Azzouz S.,1,18,2,45,20,17,0.142,Thomson,Convective,Untreated,Untreated,Untreated,,69,,3.06E-04,7.50E+08,2483,1.79E-02,2.30E-02,1.49E-01,29.6,1075,400,0.822,205.778,1000,930.233,794.222,1,3.8596,0.7942,289.098,224.107,83.32,0.4049,0.2882,0,0.4049,0.2882,Untreated
502,2017,Azzouz S.,2,18,2,50,15,17,0.186,Thomson,Convective,Untreated,Untreated,Untreated,,56,,3.45E-04,7.50E+08,2483,1.79E-02,2.30E-02,1.49E-01,29.6,1075,400,0.822,205.778,1000,930.233,794.222,1,3.8596,0.7942,322.413,249.933,116.635,0.5,0.3333,0.0199,0.5668,0.3618,Untreated
503,2017,Azzouz S.,3,18,2,55,12,17,0.132,Thomson,Convective,Untreated,Untreated,Untreated,,47,,3.88E-04,7.50E+08,2483,1.79E-02,2.30E-02,1.49E-01,29.6,1075,400,0.822,205.778,1000,930.233,794.222,1,3.8596,0.7942,289.098,224.107,83.32,0.4049,0.2882,0,0.4049,0.2882,Untreated
504,2017,Azzouz S.,4,18,2,60,10,17,0.142,Thomson,Convective,Untreated,Untreated,Untreated,,40,,4.35E-04,7.50E+08,2483,1.79E-02,2.30E-02,1.49E-01,29.6,1075,400,0.822,205.778,1000,930.233,794.222,1,3.8596,0.7942,294.633,228.398,88.855,0.4318,0.3016,0,0.4318,0.3016,Untreated
505,2017,Tiwari S.,1,16,0.16,51.5,16,47,0.304,Thomson,Convective,Untreated,Untreated,Untreated,,216,,2.57E-04,5.40E+08,2484,1.79E-02,2.30E-02,2.49E-01,29.6,1075,647.2,0.822,242.7,1618,1505.116,1375.3,1,5.6667,0.85,600,465.116,357.3,1.4722,0.5955,0,1.4722,0.5955,
506,2017,Tiwari S.,2,17,4,40,28.8,45,0.508,Thomson,Convective,Untreated,Untreated,Untreated,,214,,1.94E-04,5.40E+08,2484,1.79E-02,2.30E-02,2.49E-01,29.6,1075,641.6,0.822,240.6,1604,1492.093,1363.4,1,5.6667,0.85,540,418.605,299.4,1.2444,0.5544,0,1.2444,0.5544,
507,2017,Zemni H.,1,13,0.5,50,0,288,0.251,Italia,Convective,Chemical,50,120,,3,,1.36E-04,7.50E+08,2784,1.79E-02,2.30E-02,2.49E-01,29.6,1075,400,0.822,198.46,1000,930.233,801.54,1,4.0388,0.8015,247.979,192.232,49.519,0,0,0.0618,0.2495,0.1997,"6% K2CO3 + 0.5% olive oil (50°C, 2 min)"
508,2017,Zemni H.,2,13,0.5,50,0,288,1.024,Italia,Convective,Chemical,50,3,,3,,1.36E-04,7.50E+08,2784,1.79E-02,2.30E-02,2.49E-01,29.6,1075,400,0.822,198.46,1000,930.233,801.54,1,4.0388,0.8015,260.149,201.666,61.689,0,0,0.077,0.3108,0.2371,"1% NotApplicableOH (90°C, 3 sec)"
509,2017,Zemni H.,3,5,1,30,0,96,0.05,Italia,Convective,Chemical,90,120,,38,,7.71E-05,7.50E+08,2784,1.79E-02,2.30E-02,2.49E-01,29.6,1075,400,0.822,198.46,1000,930.233,801.54,1,4.0388,0.8015,259.208,200.936,60.748,0,0,0.0758,0.3061,0.2344,"6% K2CO3 + 0.5% olive oil (50°C, 2 min)"
510,2017,Zemni H.,4,6,1,30,0,120,0.973,Italia,Convective,Chemical,90,30,,32,,7.71E-05,7.50E+08,2784,1.79E-02,2.30E-02,2.49E-01,29.6,1075,400,0.822,198.46,1000,930.233,801.54,1,4.0388,0.8015,247.124,191.569,48.664,0,0,0.0607,0.2452,0.1969,"1% NotApplicableOH (90°C, 3 sec)"
511,2018,Chandrasekar M.,1,30,1,37.8,48,130,0.714,Unreported,Open Sun,Untreated,Untreated,Untreated,,17,,1.52E-04,8.50E+08,2684,1.79E-02,2.30E-02,2.49E-01,29.6,1075,200,0.822,75,500,465.116,425,1,5.6667,0.85,91.753,71.127,16.753,0.2195,0.18,0.0007,0.2234,0.1826,
512,2018,Chandrasekar M.,2,25,1,58.7,23,107,0.174,Unreported,Convective,Untreated,Untreated,Untreated,,4,,2.61E-04,8.50E+08,2684,1.79E-02,2.30E-02,2.49E-01,29.6,1075,200,0.822,75,500,465.116,425,1,5.6667,0.85,94.062,72.916,19.062,0.2195,0.18,0.0064,0.2542,0.2027,
513,2018,Essalhi H.,1,55,0.05,28.5,41,201,0.199,Unreported,Open Sun,Chemical,80,7,,32,,1.16E-04,8.50E+08,2684,1.79E-02,2.30E-02,2.49E-01,29.6,1075,120.168,0.822,60.685,300.42,279.46,239.735,1,3.9505,0.798,73.125,56.686,12.44,0.18,0.1525,0.0066,0.205,0.1701,
514,2018,Essalhi H.,2,42,0.7,32,50,120,0.339,Unreported,Convective,Chemical,80,7,F,49,,1.29E-04,8.50E+08,2684,1.79E-02,2.30E-02,2.49E-01,29.6,1075,120.336,0.822,60.77,300.84,279.851,240.07,1,3.9505,0.798,72.899,56.511,12.13,0.18,0.1525,0.0052,0.1996,0.1664,
515,2018,Hamdi I.,1,60,0.02,53,0,125,0.078,Thomson,Convective,Chemical,90,3,,9,,1.05E-03,8.50E+08,2184,1.79E-02,2.30E-02,2.49E-01,29.6,1075,400,0.822,157.072,1000,930.233,842.928,1,5.3665,0.8429,198.052,153.529,40.98,0,0,0.0486,0.2609,0.2069,"1% NotApplicableOH (90°C, 3 sec)"
516,2019,Huang C. C.,1,32,5,70,30,31,0.094,Sugraone,Convective,Physical,NotApplicable,NotApplicable,,28,,7.32E-03,9.90E+08,1684,1.79E-02,2.30E-02,2.49E-01,29.6,1075,400,0.822,122.33,1000,930.233,877.67,1,7.1746,0.8777,144.542,112.048,22.212,0,0,0.0253,0.1816,0.1537,Grapes skin removed
517,2019,Huang C. C.,2,32,5,70,30,31,0.05,Sugraone,Convective,Untreated,Untreated,Untreated,,14,,7.32E-03,9.90E+08,1684,1.79E-02,2.30E-02,2.49E-01,29.6,1075,400,0.822,129.45,1000,930.233,870.55,1,6.725,0.8706,159.935,123.981,30.485,0,0,0.035,0.2355,0.1906,Untreated grapes
518,2019,Huang C. C.,3,32,5,70,30,31,0.073,Sugraone,Convective,Chemical,80,30,,29,,7.32E-03,9.90E+08,1684,1.79E-02,2.30E-02,2.49E-01,29.6,1075,400,0.822,122.33,1000,930.233,877.67,1,7.1746,0.8777,144.542,112.048,22.212,0,0,0.0253,0.1816,0.1537,"0.5% (w/w) NotApplicableOH + 2% (v/v) ethyl oleate (80°C, 30 sec)"
519,2019,Huang C. C.,4,32,5,70,30,31,0.073,Sugraone,Convective,Plasma,NotApplicable,NotApplicable,,29,,7.32E-03,9.90E+08,1684,1.79E-02,2.30E-02,2.49E-01,29.6,1075,400,0.822,122.33,1000,930.233,877.67,1,7.1746,0.8777,144.542,112.048,22.212,0,0,0.0253,0.1816,0.1537,"500 W 25 kHz CDA Plasma pretreatment of grapes at distance 1 cm, thrice"
520,2019,Huang C. C.,5,32,5,70,30,31,0.052,Sugraone,Convective,Plasma,NotApplicable,NotApplicable,,20,,7.32E-03,9.90E+08,1684,1.79E-02,2.30E-02,2.49E-01,29.6,1075,400,0.822,140.83,1000,930.233,859.17,1,6.1008,0.8592,169.228,131.185,28.398,0,0,0.0331,0.2016,0.1678,"500 W 25 kHz CDA Plasma pretreatment of grapes at distance 5 cm, thrice"
521,2019,Huang C. C.,6,32,5,70,30,31,0.055,Sugraone,Convective,Plasma,NotApplicable,NotApplicable,,23,,7.32E-03,9.90E+08,1684,1.79E-02,2.30E-02,2.49E-01,29.6,1075,400,0.822,161.93,1000,930.233,838.07,1,5.1755,0.8381,198.595,153.949,36.665,0,0,0.0437,0.2264,0.1846,"500 W 25 kHz CDA Plasma pretreatment of grapes at distance 1 cm, twice"
522,2019,Huang C. C.,7,32,5,70,30,31,0.093,Sugraone,Convective,Plasma,NotApplicable,NotApplicable,,20,,7.32E-03,9.90E+08,1684,1.79E-02,2.30E-02,2.49E-01,29.6,1075,400,0.822,132.1,1000,930.233,867.9,1,6.57,0.8679,160.62,124.511,28.52,0,0,0.0329,0.2159,0.1776,"500 W 25 kHz CDA Plasma pretreatment of grapes at distance 5 cm, twice"
523,2019,Martin-Gomez J.,1,21,2.4,30,58,72,0.002,Tempranillo,Convective,Untreated,Untreated,Untreated,,31,,1.22E-04,8.10E+08,2669,1.79E-02,2.30E-02,1.49E-01,29.6,1075,400,0.822,270.27,1000,930.233,729.73,1,2.7,0.7297,669.133,518.708,398.863,0,0,0.5466,1.4758,0.5961,Untreated
524,2019,Martin-Gomez J.,2,22,1.8,40,33.5,72,0.071,Tempranillo,Convective,Untreated,Untreated,Untreated,,19,,1.61E-04,8.10E+08,2669,1.79E-02,2.30E-02,1.49E-01,29.6,1075,400,0.822,270.27,1000,930.233,729.73,1,2.7,0.7297,460.898,357.285,190.627,0,0,0.2612,0.7053,0.4136,Untreated
525,2019,Martin-Gomez J.,3,19,1.9,50,20,70,0.078,Tempranillo,Convective,Untreated,Untreated,Untreated,,12,,2.10E-04,8.10E+08,2669,1.79E-02,2.30E-02,1.49E-01,29.6,1075,400,0.822,270.27,1000,930.233,729.73,1,2.7,0.7297,307.91,238.69,37.639,0,0,0.0516,0.1393,0.1222,Untreated
526,2019,Martin-Gomez J.,4,22,2.4,30,58,72,0.147,Tempranillo,Convective,Physical,NotApplicable,NotApplicable,,79,,1.22E-04,8.10E+08,2669,1.79E-02,2.30E-02,1.49E-01,29.6,1075,400,0.822,270.27,1000,930.233,729.73,1,2.7,0.7297,426.432,330.568,156.162,0,0,0.214,0.5778,0.3662,Punched
527,2019,Martin-Gomez J.,5,21,1.8,40,33.5,72,0.04,Tempranillo,Convective,Physical,NotApplicable,NotApplicable,,29,,1.61E-04,8.10E+08,2669,1.79E-02,2.30E-02,1.49E-01,29.6,1075,400,0.822,270.27,1000,930.233,729.73,1,2.7,0.7297,342.338,265.379,72.068,0,0,0.0988,0.2667,0.2105,Punched
528,2019,Martin-Gomez J.,6,14,2.4,50,20,48,0.064,Tempranillo,Convective,Physical,NotApplicable,NotApplicable,,35,,2.10E-04,8.10E+08,2669,1.79E-02,2.30E-02,1.49E-01,29.6,1075,400,0.822,270.27,1000,930.233,729.73,1,2.7,0.7297,277.538,215.146,7.268,0,0,0.01,0.0269,0.0262,Punched
529,2020,Ashtiani S. H. M.,1,44,1.5,60,10,43,0.002,Asgari,Convective,Untreated,Untreated,Untreated,,8,,1.57E-03,8.20E+08,2084,1.79E-02,2.30E-02,2.49E-01,29.6,1075,20,0.822,11.76,50,46.512,38.24,1,3.2517,0.7648,17.847,13.835,6.087,0,0,0.1592,0.5176,0.3411,Untreated
530,2020,Ashtiani S. H. M.,2,42,1.5,60,10,41,0.035,Asgari,Convective,Plasma,NotApplicable,10,,9,,1.57E-03,8.20E+08,2084,1.79E-02,2.30E-02,2.49E-01,29.6,1075,20,0.822,11.76,50,46.512,38.24,1,3.2517,0.7648,17.707,13.727,5.947,0,0,0.1555,0.5057,0.3359,Cold plasma treatment (10 sec)
531,2020,Ashtiani S. H. M.,3,39,1.5,60,10,38,0.031,Asgari,Convective,Plasma,NotApplicable,20,,9,,1.57E-03,8.20E+08,2084,1.79E-02,2.30E-02,2.49E-01,29.6,1075,20,0.822,11.76,50,46.512,38.24,1,3.2517,0.7648,17.847,13.835,6.087,0,0,0.1592,0.5176,0.3411,Cold plasma treatment (20 sec)
532,2020,Ashtiani S. H. M.,4,37,1.5,60,10,36,0.015,Asgari,Convective,Plasma,NotApplicable,30,,9,,1.57E-03,8.20E+08,2084,1.79E-02,2.30E-02,2.49E-01,29.6,1075,20,0.822,11.76,50,46.512,38.24,1,3.2517,0.7648,17.707,13.727,5.947,0,0,0.1555,0.5057,0.3359,Cold plasma treatment (30 sec)
533,2020,Ashtiani S. H. M.,5,35,1.5,60,10,34,0.013,Asgari,Convective,Plasma,NotApplicable,40,,10,,1.57E-03,8.20E+08,2084,1.79E-02,2.30E-02,2.49E-01,29.6,1075,20,0.822,11.76,50,46.512,38.24,1,3.2517,0.7648,17.847,13.835,6.087,0,0,0.1592,0.5176,0.3411,Cold plasma treatment (40 sec)
534,2020,Ashtiani S. H. M.,6,33,1.5,60,10,32,0.013,Asgari,Convective,Plasma,NotApplicable,50,,11,,1.57E-03,8.20E+08,2084,1.79E-02,2.30E-02,2.49E-01,29.6,1075,20,0.822,11.76,50,46.512,38.24,1,3.2517,0.7648,17.661,13.691,5.901,0,0,0.1543,0.5018,0.3341,Cold plasma treatment (50 sec)
535,2020,Ashtiani S. H. M.,7,34,1.5,60,10,33,0.005,Asgari,Convective,Plasma,NotApplicable,60,,10,,1.57E-03,8.20E+08,2084,1.79E-02,2.30E-02,2.49E-01,29.6,1075,20,0.822,11.76,50,46.512,38.24,1,3.2517,0.7648,17.754,13.763,5.994,0,0,0.1567,0.5097,0.3376,Cold plasma treatment (1 min)
536,2020,Noshad M.,1,22,1.5,70,10,65,0.077,Unreported,Convective,Untreated,Untreated,Untreated,,5,,1.38E-04,8.30E+08,2987,1.79E-02,2.30E-02,1.49E-01,29.6,1075,40,0.822,15,100,93.023,85,1,5.6667,0.85,18.569,14.395,3.569,0.1765,0.15,0.0112,0.238,0.1922,Untreated
537,2020,Noshad M.,2,18,1.5,70,10,45,0.336,Unreported,Convective,Freezing,-20,86400,,6,,1.38E-04,8.30E+08,2987,1.79E-02,2.30E-02,1.49E-01,29.6,1075,40,0.822,15,100,93.023,85,1,5.6667,0.85,18.569,14.395,3.569,0.1765,0.15,0.0112,0.238,0.1922,"ConventioNotApplicablel freezing (-20°C, 24 h)"
538,2020,Noshad M.,3,18,1.5,70,10,45,0.065,Unreported,Convective,Cryogenic,-196,60,,6,,1.38E-04,8.30E+08,2987,1.79E-02,2.30E-02,1.49E-01,29.6,1075,40,0.822,15,100,93.023,85,1,5.6667,0.85,18.569,14.395,3.569,0.1765,0.15,0.0112,0.238,0.1922,"Cryogenic freezing (-196°C, 1 min)"
539,2020,Noshad M.,4,19,1.5,60,15.6,50,0.58,Unreported,Convective,Cryogenic,-196,60,,11,,1.06E-04,8.30E+08,2987,1.79E-02,2.30E-02,1.49E-01,29.6,1075,40,0.822,15,100,93.023,85,1,5.6667,0.85,19.009,14.736,4.009,0.1765,0.15,0.0165,0.2673,0.2109,"Cryogenic freezing (-196°C, 1 min)"
540,2020,Noshad M.,5,17,1.5,80,6.6,40,0.339,Unreported,Convective,Cryogenic,-196,60,,5,,1.76E-04,8.30E+08,2987,1.79E-02,2.30E-02,1.49E-01,29.6,1075,40,0.822,15,100,93.023,85,1,5.6667,0.85,19.009,14.736,4.009,0.1765,0.15,0.0165,0.2673,0.2109,"Cryogenic freezing (-196°C, 1 min)"
541,2021,Pawar D. A.,1,36,2,55,25,70,0.096,Thomson,Convective,Chemical,25,240,,12,,4.75E-04,9.20E+08,2484,1.79E-02,2.30E-02,2.49E-01,29.6,1075,140,0.822,43.39,350,325.581,306.61,1,7.0664,0.876,62.007,48.068,18.617,0,0,0.0607,0.4291,0.3002,"2.5% K2CO3 + 1.5% ethyl oleate (ambient temp., 4 min)"
542,2021,Pawar D. A.,2,29,2,55,25,56,0.213,Thomson,Convective,Physical,NotApplicable,NotApplicable,,18,,4.75E-04,9.20E+08,2484,1.79E-02,2.30E-02,2.49E-01,29.6,1075,140,0.822,43.473,350,325.581,306.527,1,7.051,0.8758,51.829,40.177,8.356,0,0,0.0273,0.1922,0.1612,Abrasive treatment
543,2021,Templalexis C.,1,30,0.1,44.5,17,366,0.799,Crimson,Convective,Chemical,25,180,,3.5,,9.04E-05,6.30E+08,2811,1.79E-02,2.30E-02,1.49E-01,29.6,1075,400,0.822,183.15,1000,930.233,816.85,1,4.46,0.8168,276.712,214.506,93.562,0,0,0.1145,0.5108,0.3381,Chemical pretreatment of grapes contamiNotApplicableted with OTA
544,2021,Templalexis C.,2,32,0.1,42.5,18.9,366,0.241,Thomson,Convective,Chemical,25,180,,4.5,,8.55E-05,6.30E+08,2811,1.79E-02,2.30E-02,1.49E-01,29.6,1075,400,0.822,169.492,1000,930.233,830.508,1,4.9,0.8305,262.068,203.154,92.577,0,0,0.1115,0.5462,0.3533,Chemical pretreatment of grapes contamiNotApplicableted with OTA
545,2021,Templalexis C.,3,35,0.1,42,19.4,390,0.15,Crimson,Convective,Chemical,25,180,,4.5,,8.43E-05,6.30E+08,2811,1.79E-02,2.30E-02,1.49E-01,29.6,1075,400,0.822,171.233,1000,930.233,828.767,1,4.84,0.8288,254.292,197.126,83.059,0,0,0.1002,0.4851,0.3266,Chemical pretreatment of grapes free from OTA contamiNotApplicabletion
546,2021,Templalexis C.,4,33,0.1,40,21.5,390,0.046,Thomson,Convective,Chemical,25,180,,4,,7.96E-05,6.30E+08,2811,1.79E-02,2.30E-02,1.49E-01,29.6,1075,400,0.822,207.469,1000,930.233,792.531,1,3.82,0.7925,303.92,235.597,96.451,0,0,0.1217,0.4649,0.3174,Chemical pretreatment of grapes free from OTA contamiNotApplicabletion
547,2021,Templalexis C.,5,25,0.1,49.5,13.2,243,0.714,Crimson,Convective,Chemical,25,180,,6,,1.04E-04,6.30E+08,2811,1.79E-02,2.30E-02,1.49E-01,29.6,1075,400,0.822,197.239,1000,930.233,802.761,1,4.07,0.8028,250.317,194.044,53.079,0,0,0.0661,0.2691,0.212,Chemical pretreatment of grapes contamiNotApplicableted with OTA
548,2021,Templalexis C.,6,22,0.1,47,15,390,1.535,Thomson,Convective,Chemical,25,180,,6.5,,9.69E-05,6.30E+08,2811,1.79E-02,2.30E-02,1.49E-01,29.6,1075,400,0.822,191.205,1000,930.233,808.795,1,4.23,0.8088,258.674,200.523,67.47,0,0,0.0834,0.3529,0.2608,Chemical pretreatment of grapes contamiNotApplicableted with OTA
549,2021,Templalexis C.,7,34,0.1,48.5,13.9,390,2.207,Crimson,Convective,Chemical,25,180,,5,,1.01E-04,6.30E+08,2811,1.79E-02,2.30E-02,1.49E-01,29.6,1075,400,0.822,189.753,1000,930.233,810.247,1,4.27,0.8102,246.625,191.182,56.871,0,0,0.0702,0.2997,0.2306,Chemical pretreatment of grapes free from OTA contamiNotApplicabletion
550,2021,Templalexis C.,8,38,0.1,48,14.2,390,1.044,Thomson,Convective,Chemical,25,180,,5,,9.96E-05,6.30E+08,2811,1.79E-02,2.30E-02,1.49E-01,29.6,1075,400,0.822,196.85,1000,930.233,803.15,1,4.08,0.8031,256.492,198.831,59.642,0,0,0.0743,0.303,0.2325,Chemical pretreatment of grapes free from OTA contamiNotApplicabletion
551,2021,Wang D.,1,15,0.01,24,0,912,5.51,Thomson,Open Sun,Untreated,Untreated,Untreated,,9,,6.84E-06,2.20E+08,3084,1.79E-02,2.30E-02,2.49E-01,29.6,1075,400,0.822,222.22,1000,930.233,777.78,1,3.5,0.7778,245.9,190.62,23.68,0,0,0.0304,0.1066,0.0963,Untreated
552,2021,Wang D.,2,14,0.2,24,0,432,1.093,Thomson,Convective,Chemical,25,180,,22,,6.84E-06,2.20E+08,3084,1.79E-02,2.30E-02,2.49E-01,29.6,1075,400,0.822,222.22,1000,930.233,777.78,1,3.5,0.7778,251.394,194.879,29.174,0,0,0.0375,0.1313,0.1161,"Grapes treated with a promoter (mixture of KOH, NotApplicable2CO3 and lipid)"
553,2021,Wang D.,3,11,0.01,24,0,480,1.518,Thomson,Open Sun,Untreated,Untreated,Untreated,,18,,6.84E-06,2.20E+08,3084,1.79E-02,2.30E-02,2.49E-01,29.6,1075,400,0.822,222.22,1000,930.233,777.78,1,3.5,0.7778,241.933,187.545,19.713,0,0,0.0253,0.0887,0.0815,Untreated
554,2021,Wang D.,4,9,0.2,24,0,240,2.799,Thomson,Convective,Chemical,25,180,,39,,6.84E-06,2.20E+08,3084,1.79E-02,2.30E-02,2.49E-01,29.6,1075,400,0.822,222.22,1000,930.233,777.78,1,3.5,0.7778,243.326,188.625,21.106,0,0,0.0271,0.095,0.0867,"Grapes treated with a promoter (mixture of KOH, NotApplicable2CO3 and lipid)"
555,2021,Wang D.,5,14,0.01,24,0,1032,0.583,Centennial,Open Sun,Untreated,Untreated,Untreated,,5,,6.84E-06,2.20E+08,3084,1.79E-02,2.30E-02,2.49E-01,29.6,1075,400,0.822,192.94,1000,930.233,807.06,1,4.183,0.8071,217.16,168.341,24.22,0,0,0.03,0.1255,0.1115,Untreated
556,2021,Wang D.,6,13,0.2,24,0,336,2.182,Centennial,Convective,Chemical,25,180,,28,,6.84E-06,2.20E+08,3084,1.79E-02,2.30E-02,2.49E-01,29.6,1075,400,0.822,192.94,1000,930.233,807.06,1,4.183,0.8071,212.076,164.4,19.136,0,0,0.0237,0.0992,0.0902,"Grapes treated with a promoter (mixture of KOH, NotApplicable2CO3 and lipid)"
557,2021,Wang D.,7,12,0.01,24,0,432,1.005,Centennial,Open Sun,Untreated,Untreated,Untreated,,19,,6.84E-06,2.20E+08,3084,1.79E-02,2.30E-02,2.49E-01,29.6,1075,400,0.822,192.94,1000,930.233,807.06,1,4.183,0.8071,210.383,163.087,17.443,0,0,0.0216,0.0904,0.0829,Untreated
558,2021,Wang D.,8,10,0.2,24,0,240,1.906,Centennial,Convective,Chemical,25,180,,35,,6.84E-06,2.20E+08,3084,1.79E-02,2.30E-02,2.49E-01,29.6,1075,400,0.822,192.94,1000,930.233,807.06,1,4.183,0.8071,214.199,166.046,21.259,0,0,0.0263,0.1102,0.0993,"Grapes treated with a promoter (mixture of KOH, NotApplicable2CO3 and lipid)"
,,,,,,,,132.9223686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,84.90860215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
